[s],CH2[V]
-2.01000E-06,4.939373092E-02
-2.00000E-06,4.928853396E-02
-1.99000E-06,4.937345962E-02
-1.98000E-06,4.919731120E-02
-1.97000E-06,4.918362311E-02
-1.96000E-06,4.943819408E-02
-1.95000E-06,4.985101873E-02
-1.94000E-06,5.073598848E-02
-1.93000E-06,4.985433561E-02
-1.92000E-06,5.019779952E-02
-1.91000E-06,5.048790154E-02
-1.90000E-06,4.992579062E-02
-1.89000E-06,4.809084771E-02
-1.88000E-06,4.772734138E-02
-1.87000E-06,4.739349241E-02
-1.86000E-06,4.761597224E-02
-1.85000E-06,4.794114849E-02
-1.84000E-06,4.880762459E-02
-1.83000E-06,4.928626136E-02
-1.82000E-06,4.983408338E-02
-1.81000E-06,5.081738268E-02
-1.80000E-06,5.135877599E-02
-1.79000E-06,5.212933629E-02
-1.78000E-06,5.123636044E-02
-1.77000E-06,5.068028818E-02
-1.76000E-06,5.051538930E-02
-1.75000E-06,4.984444601E-02
-1.74000E-06,4.824126695E-02
-1.73000E-06,4.785734722E-02
-1.72000E-06,4.785212871E-02
-1.71000E-06,4.851567721E-02
-1.70000E-06,4.841401553E-02
-1.69000E-06,4.909138182E-02
-1.68000E-06,4.868338371E-02
-1.67000E-06,4.838206076E-02
-1.66000E-06,4.857085300E-02
-1.65000E-06,4.890183331E-02
-1.64000E-06,4.948766975E-02
-1.63000E-06,4.954529839E-02
-1.62000E-06,4.961563855E-02
-1.61000E-06,5.039467987E-02
-1.60000E-06,5.045392022E-02
-1.59000E-06,4.957033139E-02
-1.58000E-06,4.920215586E-02
-1.57000E-06,4.950179272E-02
-1.56000E-06,5.047142300E-02
-1.55000E-06,5.099662483E-02
-1.54000E-06,5.177942172E-02
-1.53000E-06,5.183377925E-02
-1.52000E-06,5.143180742E-02
-1.51000E-06,5.149080458E-02
-1.50000E-06,5.140299596E-02
-1.49000E-06,5.185723774E-02
-1.48000E-06,5.189997379E-02
-1.47000E-06,5.146068468E-02
-1.46000E-06,5.171546355E-02
-1.45000E-06,5.189246170E-02
-1.44000E-06,5.102817333E-02
-1.43000E-06,5.007209857E-02
-1.42000E-06,4.972035962E-02
-1.41000E-06,5.009780200E-02
-1.40000E-06,5.026464161E-02
-1.39000E-06,5.103126228E-02
-1.38000E-06,5.118200005E-02
-1.37000E-06,5.106105316E-02
-1.36000E-06,5.138717260E-02
-1.35000E-06,5.123270215E-02
-1.34000E-06,5.133708943E-02
-1.33000E-06,5.159004011E-02
-1.32000E-06,5.064791570E-02
-1.31000E-06,4.991690428E-02
-1.30000E-06,5.030644783E-02
-1.29000E-06,4.961874943E-02
-1.28000E-06,4.889133908E-02
-1.27000E-06,4.847577262E-02
-1.26000E-06,4.856031299E-02
-1.25000E-06,4.836675333E-02
-1.24000E-06,4.818218397E-02
-1.23000E-06,4.778464004E-02
-1.22000E-06,4.744663019E-02
-1.21000E-06,4.740952653E-02
-1.20000E-06,4.750713701E-02
-1.19000E-06,4.757362242E-02
-1.18000E-06,4.872227646E-02
-1.17000E-06,4.834623026E-02
-1.16000E-06,4.829450773E-02
-1.15000E-06,4.916912535E-02
-1.14000E-06,4.898936345E-02
-1.13000E-06,4.793739483E-02
-1.12000E-06,4.777477714E-02
-1.11000E-06,4.762477179E-02
-1.10000E-06,4.758773299E-02
-1.09000E-06,4.736247129E-02
-1.08000E-06,4.754808970E-02
-1.07000E-06,4.736742563E-02
-1.06000E-06,4.705051677E-02
-1.05000E-06,4.755417032E-02
-1.04000E-06,4.762413092E-02
-1.03000E-06,4.841495108E-02
-1.02000E-06,4.817945073E-02
-1.01000E-06,4.786996910E-02
-1.00000E-06,4.834173845E-02
-9.90002E-07,4.834967589E-02
-9.80002E-07,4.740493841E-02
-9.70002E-07,4.756933470E-02
-9.60002E-07,4.755142756E-02
-9.50002E-07,4.802706883E-02
-9.40002E-07,4.796226761E-02
-9.30002E-07,4.814177011E-02
-9.20002E-07,4.777631828E-02
-9.10002E-07,4.737841577E-02
-9.00002E-07,4.757800360E-02
-8.90002E-07,4.679442183E-02
-8.80002E-07,4.739096231E-02
-8.70002E-07,4.700578849E-02
-8.60002E-07,4.661822572E-02
-8.50002E-07,4.709366959E-02
-8.40002E-07,4.767831584E-02
-8.30002E-07,4.696458690E-02
-8.20002E-07,4.652454915E-02
-8.10002E-07,4.637093224E-02
-8.00002E-07,4.670338503E-02
-7.90002E-07,4.671551958E-02
-7.80002E-07,4.719417828E-02
-7.70002E-07,4.717663639E-02
-7.60002E-07,4.693850009E-02
-7.50002E-07,4.722226018E-02
-7.40002E-07,4.673365465E-02
-7.30002E-07,4.750066347E-02
-7.20002E-07,4.823809217E-02
-7.10002E-07,4.829957746E-02
-7.00002E-07,4.886400582E-02
-6.90002E-07,4.933400134E-02
-6.80002E-07,4.891873433E-02
-6.70002E-07,4.847581363E-02
-6.60002E-07,4.860320163E-02
-6.50002E-07,4.867830540E-02
-6.40002E-07,4.862996364E-02
-6.30002E-07,4.868821121E-02
-6.20002E-07,4.849419284E-02
-6.10002E-07,4.794565365E-02
-6.00002E-07,4.766088649E-02
-5.90002E-07,4.713314789E-02
-5.80002E-07,4.689976661E-02
-5.70002E-07,4.761725207E-02
-5.60002E-07,4.718175763E-02
-5.50002E-07,4.649805226E-02
-5.40002E-07,4.693367450E-02
-5.30002E-07,4.698120086E-02
-5.20002E-07,4.692223136E-02
-5.10002E-07,4.722922295E-02
-5.00002E-07,4.745735044E-02
-4.90002E-07,4.812855409E-02
-4.80002E-07,4.874966313E-02
-4.70002E-07,4.924966983E-02
-4.60002E-07,4.921589259E-02
-4.50002E-07,4.973151094E-02
-4.40002E-07,4.972925836E-02
-4.30002E-07,4.997600252E-02
-4.20002E-07,5.051428971E-02
-4.10002E-07,4.991309912E-02
-4.00002E-07,4.895859792E-02
-3.90002E-07,4.897932603E-02
-3.80002E-07,4.919010619E-02
-3.70002E-07,4.917294386E-02
-3.60002E-07,4.932736949E-02
-3.50002E-07,4.934332351E-02
-3.40002E-07,4.940507202E-02
