[s],CH2[V]
-2.15000E-06,2.565404010E-03
-2.14000E-06,2.591771199E-03
-2.13000E-06,2.573216510E-03
-2.12000E-06,2.533177446E-03
-2.11000E-06,2.573216510E-03
-2.10000E-06,2.580052448E-03
-2.09000E-06,2.590794636E-03
-2.08000E-06,2.573216510E-03
-2.07000E-06,2.576146198E-03
-2.06000E-06,2.547825884E-03
-2.05000E-06,2.564427447E-03
-2.04000E-06,2.610325887E-03
-2.03000E-06,2.582982136E-03
-2.02000E-06,2.544896196E-03
-2.01000E-06,2.543919634E-03
-2.00000E-06,2.596654011E-03
-1.99000E-06,2.552708697E-03
-1.98000E-06,2.532200883E-03
-1.97000E-06,2.506810257E-03
-1.96000E-06,2.541966509E-03
-1.95000E-06,2.570286823E-03
-1.94000E-06,2.510716507E-03
-1.93000E-06,2.549779009E-03
-1.92000E-06,2.554661822E-03
-1.91000E-06,2.562474322E-03
-1.90000E-06,2.572239948E-03
-1.89000E-06,2.564427447E-03
-1.88000E-06,2.530247758E-03
-1.87000E-06,2.559544635E-03
-1.86000E-06,2.572239948E-03
-1.85000E-06,2.531224321E-03
-1.84000E-06,2.549779009E-03
-1.83000E-06,2.562474322E-03
-1.82000E-06,2.570286823E-03
-1.81000E-06,2.547825884E-03
-1.80000E-06,2.510716507E-03
-1.79000E-06,2.571263385E-03
-1.78000E-06,2.471654005E-03
-1.77000E-06,2.432591504E-03
-1.76000E-06,2.384739939E-03
-1.75000E-06,2.489232131E-03
-1.74000E-06,2.532200883E-03
-1.73000E-06,2.389622752E-03
-1.72000E-06,2.554661822E-03
-1.71000E-06,2.432591504E-03
-1.70000E-06,2.510716507E-03
-1.69000E-06,2.571263385E-03
-1.68000E-06,2.486302444E-03
-1.67000E-06,2.532200883E-03
-1.66000E-06,2.538060259E-03
-1.65000E-06,2.550755572E-03
-1.64000E-06,2.461888380E-03
-1.63000E-06,2.579075886E-03
-1.62000E-06,2.560521197E-03
-1.61000E-06,2.578099323E-03
-1.60000E-06,2.541966509E-03
-1.59000E-06,2.549779009E-03
-1.58000E-06,2.493138381E-03
-1.57000E-06,2.477513381E-03
-1.56000E-06,2.550755572E-03
-1.55000E-06,2.540989946E-03
-1.54000E-06,2.479466506E-03
-1.53000E-06,2.455052442E-03
-1.52000E-06,2.401341502E-03
-1.51000E-06,2.371068063E-03
-1.50000E-06,2.441380566E-03
-1.49000E-06,2.405247752E-03
-1.48000E-06,2.381810251E-03
-1.47000E-06,2.445286817E-03
-1.46000E-06,2.413060253E-03
-1.45000E-06,2.461888380E-03
-1.44000E-06,2.398411814E-03
-1.43000E-06,2.431614941E-03
-1.42000E-06,2.413060253E-03
-1.41000E-06,2.495091507E-03
-1.40000E-06,2.393529002E-03
-1.39000E-06,2.419896190E-03
-1.38000E-06,2.434544629E-03
-1.37000E-06,2.448216504E-03
-1.36000E-06,2.443333692E-03
-1.35000E-06,2.504857132E-03
-1.34000E-06,2.526341508E-03
-1.33000E-06,2.443333692E-03
-1.32000E-06,2.534154008E-03
-1.31000E-06,2.551732134E-03
-1.30000E-06,2.510716507E-03
-1.29000E-06,2.431614941E-03
-1.28000E-06,2.550755572E-03
-1.27000E-06,2.523411820E-03
-1.26000E-06,2.546849321E-03
-1.25000E-06,2.557591509E-03
-1.24000E-06,2.568333697E-03
-1.23000E-06,2.567357135E-03
-1.22000E-06,2.554661822E-03
-1.21000E-06,2.576146198E-03
-1.20000E-06,2.552708697E-03
-1.19000E-06,2.574193073E-03
-1.18000E-06,2.582005573E-03
-1.17000E-06,2.653294639E-03
-1.16000E-06,2.576146198E-03
-1.15000E-06,2.591771199E-03
-1.14000E-06,2.572239948E-03
-1.13000E-06,2.573216510E-03
-1.12000E-06,2.590794636E-03
-1.11000E-06,2.584935261E-03
-1.10000E-06,2.639622763E-03
-1.09000E-06,2.561497760E-03
-1.08000E-06,2.634739951E-03
-1.07000E-06,2.577122760E-03
-1.06000E-06,2.639622763E-03
-1.05000E-06,2.558568072E-03
-1.04000E-06,2.592747761E-03
-1.03000E-06,2.574193073E-03
-1.02000E-06,2.569310260E-03
-1.01000E-06,2.551732134E-03
-1.00000E-06,2.555638384E-03
-9.90002E-07,2.497044632E-03
-9.80002E-07,2.460911817E-03
-9.70002E-07,2.519505570E-03
-9.60002E-07,2.377904001E-03
-9.50002E-07,2.491185256E-03
-9.40002E-07,2.401341502E-03
-9.30002E-07,2.510716507E-03
-9.20002E-07,2.490208694E-03
-9.10002E-07,2.354466500E-03
-9.00002E-07,2.403294627E-03
-8.90002E-07,2.434544629E-03
-8.80002E-07,2.537083696E-03
-8.70002E-07,2.513646195E-03
-8.60002E-07,2.462864942E-03
-8.50002E-07,2.547825884E-03
-8.40002E-07,2.549779009E-03
-8.30002E-07,2.539036821E-03
-8.20002E-07,2.524388383E-03
-8.10002E-07,2.514622757E-03
-8.00002E-07,2.556614947E-03
